SF2SA1DB,HHTYPC,STHHTYC,HHADULEC,NUMKHHEC,RAECURF,INCDECEP,INCDECE,ABSGID,ABSCID,ABSUID,ABSBID,ABSSID,ABSFID,ABSDID,ABSEID,ABSKID,ABSTID,INCSRCHA,INCSRCHB,INCSRCHC,INCSRCHD,INCSRCHE,HSRCCDE,WINDGHH,FDSECQ1,FDSECQ2,LEVEL1,HHC0T14,HH15OV,NUMPERHH,NOATSIHH,ATSI0T14,ATSI18OV,ATSI0T17,ATSI15OV,ABSHID,ABSLFID
1,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000001,0
1,3,1,2,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,5,1,4,2,6,6,4,2,4,2,INP13B1000002,0
2,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000003,0
1,6,2,3,6,2,99,99,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,5,0,1,4,5,9,9,4,3,6,5,INP13B1000004,0
1,4,1,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,5,1,1,1,2,2,1,1,1,1,INP13B1000005,0
1,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,5,1,0,1,1,1,0,1,0,1,INP13B1000006,0
1,4,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,1,1,2,2,1,1,1,1,INP13B1000007,0
1,6,2,5,3,2,99,99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,3,5,8,8,3,5,3,5,INP13B1000008,0
1,6,2,3,3,2,99,99,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,1,5,1,3,3,6,6,3,3,3,3,INP13B1000009,0
4,3,1,2,2,1,99,99,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,0,4,4,3,0,1,2,3,INP13B1000010,0
1,6,1,3,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,3,3,3,0,3,0,3,INP13B1000011,0
2,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,1,1,0,1,1,1,0,1,0,1,INP13B1000012,0
1,6,1,1,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,3,1,4,4,3,1,3,1,INP13B1000013,0
1,1,5,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,5,1,0,1,1,1,0,1,0,1,INP13B1000014,0
3,6,2,3,1,1,8,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,1,3,4,1,1,0,1,0,INP13B1000015,0
2,4,1,2,0,2,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,1,8,0,1,0,2,2,2,0,2,0,2,INP13B1000016,0
1,1,5,1,0,1,99,99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000017,0
1,6,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,1,2,3,3,1,1,2,2,INP13B1000018,0
1,4,1,1,1,2,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,1,8,0,1,1,1,2,2,1,1,1,1,INP13B1000019,0
2,4,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,1,1,2,2,1,1,1,1,INP13B1000020,0
4,2,1,2,0,1,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000021,0
3,3,1,2,2,2,8,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,2,2,4,4,2,2,2,2,INP13B1000022,0
1,1,5,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000023,0
1,1,5,1,0,1,3,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,5,1,0,1,1,1,0,1,0,1,INP13B1000024,0
1,3,1,2,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,1,2,3,3,1,2,1,2,INP13B1000025,0
1,3,1,2,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,1,5,1,4,2,6,6,4,2,4,2,INP13B1000026,0
5,4,1,2,0,1,99,99,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000027,0
2,4,1,1,1,2,6,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,5,0,1,0,2,2,2,0,1,1,2,INP13B1000028,0
3,4,1,3,1,1,99,99,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,1,3,4,3,1,2,1,2,INP13B1000029,0
1,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,5,1,1,1,2,2,1,1,1,1,INP13B1000030,0
1,3,1,2,3,2,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,5,0,1,3,2,5,5,3,2,3,2,INP13B1000031,0
1,3,1,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,5,0,1,4,2,6,6,4,2,4,2,INP13B1000032,0
1,6,1,3,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,1,5,1,2,3,5,5,2,3,2,3,INP13B1000033,0
1,4,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,5,0,1,0,2,2,2,0,1,1,2,INP13B1000034,0
3,6,1,3,0,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,5,0,1,0,3,3,3,0,3,0,3,INP13B1000035,0
1,6,2,3,5,2,9,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,4,4,8,8,4,3,5,4,INP13B1000036,0
1,6,1,2,3,2,5,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,2,3,5,5,2,2,3,3,INP13B1000037,0
1,6,1,2,5,2,8,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,5,0,1,5,2,7,7,5,2,5,2,INP13B1000038,0
1,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,1,5,1,0,1,1,1,0,1,0,1,INP13B1000039,0
3,4,1,1,4,1,3,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,5,0,1,4,1,5,5,4,1,4,1,INP13B1000040,0
1,6,3,4,4,1,99,99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,4,4,8,8,4,4,4,4,INP13B1000041,0
1,2,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,5,1,0,2,2,1,0,1,0,1,INP13B1000042,0
1,6,1,5,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,5,5,5,0,5,0,5,INP13B1000043,0
5,3,1,2,2,2,8,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,5,0,1,2,2,4,3,2,1,2,1,INP13B1000044,0
1,2,1,2,0,2,5,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,5,0,1,0,2,2,2,0,2,0,2,INP13B1000045,0
1,2,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,2,2,2,0,2,0,2,INP13B1000046,0
1,3,1,2,1,2,99,99,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,5,0,1,1,2,3,3,1,2,1,2,INP13B1000047,0
3,4,1,2,0,1,4,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000048,0
2,2,1,2,0,1,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,1,0,2,2,1,0,1,0,1,INP13B1000049,0
1,4,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,2,2,2,0,1,1,2,INP13B1000050,0
1,6,2,4,0,2,6,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,1,5,1,0,4,4,4,0,4,0,4,INP13B1000051,0
1,6,1,2,0,2,4,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,1,1,5,1,0,2,2,2,0,2,0,2,INP13B1000052,0
1,6,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,2,3,5,5,2,3,2,3,INP13B1000053,0
3,4,1,1,2,1,6,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,2,1,3,2,2,0,2,0,INP13B1000054,0
1,4,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,1,2,1,3,1,1,0,1,0,INP13B1000055,0
1,3,1,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,5,0,1,1,2,3,2,1,1,1,1,INP13B1000056,0
5,4,1,1,4,2,4,3,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,5,1,5,0,1,4,1,5,5,4,1,4,1,INP13B1000057,0
1,6,1,5,2,2,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,1,8,0,1,2,5,7,7,2,5,2,5,INP13B1000058,0
1,1,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,5,0,1,0,1,1,1,0,1,0,1,INP13B1000059,0
1,4,1,2,0,2,99,99,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1,1,1,0,2,2,2,0,2,0,2,INP13B1000060,0
1,3,1,2,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,2,5,0,1,1,2,3,2,1,1,1,1,INP13B1000061,0
